Ano,Componente,Questão,Gabarito,Identificador
1º,Matemática,1,C,SXH961208
1º,Matemática,2,A,SXH961208
1º,Matemática,3,C,SXH961208
1º,Matemática,4,D,SXH961208
1º,Matemática,5,B,SXH961208
1º,Matemática,6,D,SXH961208
1º,Matemática,7,B,SXH961208
1º,Matemática,8,A,SXH961208
1º,Matemática,9,C,SXH961208
1º,Matemática,10,D,SXH961208
1º,Matemática,11,A,SXH961208
1º,Matemática,12,B,SXH961208
1º,Matemática,13,B,SXH961208
1º,Matemática,14,C,SXH961208
1º,Matemática,15,C,SXH961208
1º,Matemática,16,A,SXH961208
1º,Matemática,17,B,SXH961208
1º,Matemática,18,B,SXH961208
1º,Matemática,19,D,SXH961208
1º,Matemática,20,B,SXH961208
1º,Matemática,21,D,SXH961208
1º,Matemática,22,B,SXH961208
