Ano,Componente,Questão,Gabarito,Identificador
4º,Língua Portuguesa,1,C,MZV832594
4º,Língua Portuguesa,2,B,MZV832594
4º,Língua Portuguesa,3,C,MZV832594
4º,Língua Portuguesa,4,B,MZV832594
4º,Língua Portuguesa,5,C,MZV832594
4º,Língua Portuguesa,6,D,MZV832594
4º,Língua Portuguesa,7,B,MZV832594
4º,Língua Portuguesa,8,A,MZV832594
4º,Língua Portuguesa,9,D,MZV832594
4º,Língua Portuguesa,10, ,MZV832594
4º,Língua Portuguesa,11,C,MZV832594
4º,Língua Portuguesa,12, ,MZV832594
4º,Língua Portuguesa,13,B,MZV832594
4º,Língua Portuguesa,14,B,MZV832594
4º,Língua Portuguesa,15,D,MZV832594
4º,Língua Portuguesa,16,A,MZV832594
4º,Língua Portuguesa,17,C,MZV832594
4º,Língua Portuguesa,18,C,MZV832594
4º,Língua Portuguesa,19,A,MZV832594
4º,Língua Portuguesa,20,D,MZV832594
4º,Língua Portuguesa,21,A,MZV832594
4º,Língua Portuguesa,22,D,MZV832594
