Ano,Componente,Questão,Gabarito,Identificador
3º,Matemática,1,D,LFR557922
3º,Matemática,2,B,LFR557922
3º,Matemática,3,D,LFR557922
3º,Matemática,4, ,LFR557922
3º,Matemática,5,A,LFR557922
3º,Matemática,6,A,LFR557922
3º,Matemática,7,B,LFR557922
3º,Matemática,8,B,LFR557922
3º,Matemática,9, ,LFR557922
3º,Matemática,10,A,LFR557922
3º,Matemática,11,D,LFR557922
3º,Matemática,12,D,LFR557922
3º,Matemática,13,A,LFR557922
3º,Matemática,14,B,LFR557922
3º,Matemática,15,B,LFR557922
3º,Matemática,16,C,LFR557922
3º,Matemática,17,B,LFR557922
3º,Matemática,18,D,LFR557922
3º,Matemática,19,C,LFR557922
3º,Matemática,20,A,LFR557922
3º,Matemática,21,A,LFR557922
3º,Matemática,22,,LFR557922
