Ano,Componente,Questão,Gabarito,Identificador
5º,Matemática,1,D,UGU120569
5º,Matemática,2,D,UGU120569
5º,Matemática,3,D,UGU120569
5º,Matemática,4,B,UGU120569
5º,Matemática,5,A,UGU120569
5º,Matemática,6,D,UGU120569
5º,Matemática,7,A,UGU120569
5º,Matemática,8,C,UGU120569
5º,Matemática,9,D,UGU120569
5º,Matemática,10,B,UGU120569
5º,Matemática,11,B,UGU120569
5º,Matemática,12,C,UGU120569
5º,Matemática,13,A,UGU120569
5º,Matemática,14,D,UGU120569
5º,Matemática,15,B,UGU120569
5º,Matemática,16,B,UGU120569
5º,Matemática,17,A,UGU120569
5º,Matemática,18,D,UGU120569
5º,Matemática,19,D,UGU120569
5º,Matemática,20,A,UGU120569
5º,Matemática,21,C,UGU120569
5º,Matemática,22,,UGU120569
