Ano,Componente,Questão,Gabarito,Identificador
3º,Língua Portuguesa,1,A,JBA831584
3º,Língua Portuguesa,2,C,JBA831584
3º,Língua Portuguesa,3,B,JBA831584
3º,Língua Portuguesa,4,C,JBA831584
3º,Língua Portuguesa,5,C,JBA831584
3º,Língua Portuguesa,6,B,JBA831584
3º,Língua Portuguesa,7,A,JBA831584
3º,Língua Portuguesa,8,D,JBA831584
3º,Língua Portuguesa,9,B,JBA831584
3º,Língua Portuguesa,10,D,JBA831584
3º,Língua Portuguesa,11, ,JBA831584
3º,Língua Portuguesa,12,B,JBA831584
3º,Língua Portuguesa,13,A,JBA831584
3º,Língua Portuguesa,14,A,JBA831584
3º,Língua Portuguesa,15,C,JBA831584
3º,Língua Portuguesa,16,A,JBA831584
3º,Língua Portuguesa,17,C,JBA831584
3º,Língua Portuguesa,18,D,JBA831584
3º,Língua Portuguesa,19,C,JBA831584
3º,Língua Portuguesa,20,A,JBA831584
3º,Língua Portuguesa,21,A,JBA831584
3º,Língua Portuguesa,22,D,JBA831584
